gameid,inning,half,batting_team,defense_team,player,base,result,balls,strikes,outs
624500,5,bottom,York Revolution,Gastonia Ghost Peppers,Brandon Lewis,3,SB,0,1,1
624500,8,top,Gastonia Ghost Peppers,York Revolution,Cole Roederer,2,SB,1,1,1
624559,7,top,York Revolution,Hagerstown Flying Boxcars,Jeffrey Wehler,2,SB,1,0,0
624559,7,top,York Revolution,Hagerstown Flying Boxcars,Jaylin Davis,2,SB,2,2,0
624560,3,top,York Revolution,Hagerstown Flying Boxcars,Bubba Alleyne,2,CS,0,1,0
624560,5,bottom,Hagerstown Flying Boxcars,York Revolution,Alan Alonso,2,SB,1,1,1
624624,3,top,Lancaster Stormers,Lexington Legends,Alex Isola,2,SB,1,1,1
624624,4,bottom,Lexington Legends,Lancaster Stormers,Ryan McCarthy,2,SB,1,0,3
624625,1,top,Lancaster Stormers,Lexington Legends,Daniel Amaral,2,SB,1,0,1
624625,1,bottom,Lexington Legends,Lancaster Stormers,Andy Atwood,2,SB,0,1,3
624625,3,bottom,Lexington Legends,Lancaster Stormers,Pedro Gonzalez,2,SB,1,1,1
624626,2,top,Lancaster Stormers,Lexington Legends,Daniel Amaral,2,SB,0,2,3
624626,6,top,Lancaster Stormers,Lexington Legends,Yeison Coca,2,SB,1,0,3
624626,7,bottom,Lexington Legends,Lancaster Stormers,Ryan McCarthy,2,SB,3,1,1
624626,7,bottom,Lexington Legends,Lancaster Stormers,Dylan Rock,3,SB,3,1,1
