Team,Number,Player,Position,Ht,B,T
Long Island,52,Jonah Dipoto,P,6-1,R,R
Long Island,30,Bernardo Flores,P,6-4,L,L
Long Island,15,David Griffin,P,6-0,R,R
Long Island,36,Juan Hillman,P,6-1,L,L
Long Island,45,Ryan Langford,P,6-1,R,R
Long Island,51,Tim Melville,P,6-4,R,R
Long Island,47,Braydon Nelson,P,6-5,R,R
Long Island,23,Ryan Sandberg,P,6-0,R,R
Long Island,31,Mitchell Senger,P,6-6,L,L
Long Island,33,Mark Washington,P,6-7,R,R
Long Island,19,Peyton Williams,P,6-2,R,R
Long Island,34,Ronaldo Flores,C,6-0,R,R
Long Island,11,Justin OConner,C,6-0,R,R
Long Island,6,Ed Johnson,IF,6-1,R,R
Long Island,2,Kole Kaler,IF,5-10,S,R
Long Island,1,Jack Lynch,IF,6-5,L,R
Long Island,27,Chad Pike,IF/P,5-10,S,R
Long Island,24,Troy Viola,IF,6-2,R,R
Long Island,13,JC Encarnacion,OF,6-3,R,R
Long Island,32,Taylor Kohlwey,OF,6-2,L,L
Long Island,9,Chris Roller,OF,6-0,R,R
Long Island,5,Cody Thomas,OF,6-5,L,R
Long Island,14,River Town,OF,5-11,L,R
Long Island,5,Mark Mathias,IF,6-0,R,R
Long Island,21,Sterling Sharp,P,6-3,R,R
Long Island,41,Nick Tropeano,P,6-4,R,R
State Island,28,Christian Allegretti,P,5-11,L,L
State Island,27,Tanner Andrews,P,6-3,R,R
State Island,15,Robbie Baker,P,6-2,R,R
State Island,19,Shane Barringer,P,6-5,L,L
State Island,35,Matt Dunaway,P,6-0,R,R
State Island,25,Luis Guzman,P,6-2,L,L
State Island,12,Trayson Kubo,P,6-0,R,R
State Island,20,Morgan McSweeney,P,6-3,R,R
State Island,37,James Meeker,P,6-5,R,R
State Island,32,Adalberto Mejia,P,6-4,L,L
State Island,13,Nate Roe,P,6-1,R,R
State Island,40,Kirby Snead,P,6-1,L,L
State Island,34,Ryan Williamson,P,6-2,L,L
State Island,6,Brandon Martorano,C,6-2,R,R
State Island,9,David Melfi,C,5-11,R,R
State Island,23,Matthew Scheffler,C,6-2,R,R
State Island,30,Tim Borden,IF,6-2,R,R
State Island,14,Eddy Diaz,IF,6-0,R,R
State Island,8,Damon Dues,IF,6-1,L,R
State Island,2,Drew Maggi,IF,5-11,R,R
State Island,48,Pablo Sandoval,IF,5-10,L,R
State Island,5,Mark Contreras,OF,5-11,L,R
State Island,38,Nicholas Decker,OF,6-0,L,L
State Island,1,Shayne Fontana,OF,6-2,L,L
State Island,17,Nate Scantlin,OF,6-0,L,R
State Island,11,Aaron Takacs,OF,6-4,L,R
York,47,Parker Bugg,P,6-6,R,R
York,25,Ian Churchill,P,6-2,L,L
York,37,Noah Denoyer,P,6-5,S,R
York,23,Danny Denz,P,5-9,L,L
York,17,Hunter Dula,P,6-1,L,R
York,31,Lukas Galdoni,P,6-4,L,R
York,33,Mauricio Llovera,P,5-11,R,R
York,18,Jordan Morales,P,5-10,R,L
York,26,Foster Pace,P,5-11,R,R
York,50,Tyler Palm,P,6-9,R,R
York,48,J.C. Ramirez,P,6-5,R,R
York,16,Cam Robinson,P,6-0,R,R
York,19,Wesley Scott,P,6-1,R,R
York,32,Matt Walker,P,6-4,L,L
York,46,Dallas Woolfolk,P,6-2,R,R
York,3,Michael Berglund,C,6-1,L,R
York,11,William Simoneit,C,6-3,R,R
York,27,Justin Acal,IF,5-10,R,R
York,9,Ryan Higgins,3B,6-1,R,R
York,29,Brandon Lewis,3B,6-2,R,R
York,2,Jalen Miller,2B,6-0,R,R
York,22,Frankie Tostado,1B,6-2,L,L
York,4,Jeffrey Wehler,IF,6-0,R,R
York,21,Bubba Alleyne,OF,5-8,S,R
York,6,Marty Costes,OF,5-9,R,R
York,34,Blake McRae,OF,6-1,R,R
York,10,Alerick Soularie,OF,6-0,R,R
Charleston,43,Ronaldo Alesandro,P,,R,R
Charleston,47,Manuel Alvarez,P,,R,R
